ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
2074	0,0	1,1	0,1	2,0	133	49	1	1.0
2097	2,2	7,6	3,4	4,4	490	49	0.142829808631	1.0
2098	1,0	4,3	0,0	5,6	183	49	1	1.0
2110	0,1	1,0	0,1	1,0	647	49	1	1.0
2112	0,1	0,1	0,0	1,0	217	49	1	1.0
2224	3,0	0,0	0,2	1,0	579	49	1	1.0
2262	1,0	1,4	0,0	5,4	243	49	1	1.0
2264	0,1	3,3	0,2	3,0	370	49	0.430008041155	1.0
2366	0,3	1,1	1,0	0,0	230	49	1	1.0
2369	1,0	0,1	0,0	1,0	217	49	1	1.0
2372	1,0	1,0	1,0	0,0	276	49	1	1.0
2373	0,0	1,0	0,1	1,0	331	49	1	1.0
2431	0,0	1,0	0,2	0,0	551	49	1	1.0
2497	1,0	6,3	0,0	0,2	675	49	1	1.0
2652	0,2	4,4	0,0	1,0	1497	49	1	1.0
2727	1,0	0,0	0,0	1,0	1273	49	1	1.0
2803	0,0	1,1	1,0	1,0	501	49	1	1.0
2804	0,0	1,0	1,0	1,0	355	49	1	1.0
2815	0,0	0,1	0,1	0,0	185	49	1	1.0
2916	0,0	1,1	2,2	0,0	759	49	1.24588894757e-09	1.58227896341e-07
3038	0,0	5,2	1,0	1,2	261	49	1	1.0
3237	1,0	0,0	0,1	0,1	354	49	1	1.0
3364	0,1	0,2	0,3	2,1	270	49	1	1.0
3568	0,0	0,1	1,0	1,0	128	49	1	1.0
3631	0,0	0,1	1,0	0,0	217	49	1	1.0
3754	0,0	0,1	2,0	0,0	1695	49	1	1.0
3779	0,1	0,2	1,0	2,2	150	49	1	1.0
3949	3,2	2,1	1,2	1,0	1894	49	0.421516543954	1.0
3967	1,0	0,1	0,2	3,1	660	49	1	1.0
4028	0,0	0,1	0,1	0,0	134	49	1	1.0
4031	0,0	0,2	0,1	0,0	554	49	1	1.0
4055	0,1	0,1	0,0	0,4	519	49	1	1.0
4120	1,1	0,0	0,3	1,0	354	49	0.0966599662336	1.0
4252	0,0	3,2	0,1	1,1	478	49	1	1.0
4324	0,1	0,1	0,1	0,0	140	49	1	1.0
4327	0,0	0,1	0,1	0,0	124	49	1	1.0
4368	2,3	2,6	1,0	5,3	158	49	0.015499029571	0.656125585172
4383	3,0	6,5	0,2	1,2	1055	49	0.543247474707	1.0
4581	0,0	0,1	2,0	0,0	2686	49	1	1.0
4588	0,2	0,0	0,0	1,0	4173	49	1	1.0
4823	0,1	3,7	3,0	3,5	326	49	0.710213549763	1.0
4825	0,1	3,4	0,1	0,1	667	49	1	1.0
4893	1,3	3,5	0,0	5,0	505	49	1	1.0
4894	4,3	2,3	0,2	2,2	453	49	0.0492057118873	1.0
4900	0,0	1,0	0,1	0,0	1155	49	1	1.0
4903	0,0	1,0	2,1	0,0	772	49	1	1.0
4906	2,0	0,0	0,0	1,1	491	49	1	1.0
5006	0,0	1,0	1,2	0,1	225	49	1	1.0
5008	0,2	0,0	0,0	0,1	378	49	1	1.0
5058	1,0	0,0	0,0	0,2	199	49	1	1.0
5064	0,0	0,1	0,1	0,0	142	49	1	1.0
5089	4,2	0,0	2,0	1,0	312	49	1	1.0
5090	3,2	5,1	2,0	4,4	305	49	0.125074685544	1.0
5199	2,0	1,1	0,0	1,0	138	49	1	1.0
5257	0,0	0,1	1,0	0,0	350	49	1	1.0
5272	0,0	1,0	1,0	0,0	1518	49	1	1.0
5288	0,2	4,4	2,1	5,2	178	49	0.327011149281	1.0
5351	2,3	1,1	2,0	0,1	3066	49	0.616498710756	1.0
5513	0,0	0,1	1,0	1,1	1624	49	1	1.0
5525	1,1	1,1	3,0	0,0	924	49	1	1.0
5541	0,1	0,0	0,0	1,0	206	49	1	1.0
5577	0,0	1,1	0,1	2,0	293	49	1	1.0
5590	1,1	1,1	0,0	0,1	282	49	1	1.0
5623	0,0	3,4	0,1	1,0	307	49	1	1.0
5641	2,1	1,0	2,0	0,0	1640	49	1	1.0
5667	1,1	4,4	0,1	1,1	153	49	0.25788279514	1.0
5912	1,0	3,2	0,0	0,1	300	49	1	1.0
5979	0,1	0,0	0,0	1,3	479	49	1	1.0
5991	0,1	0,2	0,2	4,1	676	49	1	1.0
6010	0,1	1,2	0,0	3,2	242	49	1	1.0
